cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total
Belo Horizonte,422,3,1,4,6,0,1,3162,3142,1567,97,7968
Florianópolis,125,5,1,3,19,1,0,1620,6875,698,165,9358
Uberlândia,78,5,1,4,18,1,1,2641,6895,1004,122,10662
Belo Horizonte,58,4,4,1,19,1,1,167,7356,587,28,8138
Sorocaba,442,4,2,1,16,0,1,4268,6745,1016,177,12206
Serra,183,3,2,4,13,1,0,2689,1847,1695,53,6284
Belo Horizonte,374,5,3,0,4,1,1,12,7390,1979,17,9398
Niterói,461,4,3,4,6,1,1,635,9916,225,23,10799
Jundiaí,264,1,4,1,12,1,0,3223,2104,1687,53,7067
Porto Velho,481,4,4,4,7,1,0,1552,4099,1941,44,7636
Rio de Janeiro,322,4,1,0,14,1,0,2162,3820,800,25,6807
Uberlândia,79,1,2,4,7,0,1,4284,7203,1872,163,13522
Piracicaba,231,4,1,0,6,0,0,4066,4220,1121,112,9519
Feira de Santana,311,1,3,4,11,0,0,1940,5852,896,30,8718
Montes Claros,298,5,4,2,0,1,1,2248,8046,1326,59,11679
Aparecida de Goiânia,148,3,2,4,3,1,1,2223,8765,991,73,12052
Betim,219,3,3,0,15,0,1,3987,971,1248,77,6283
Aparecida de Goiânia,301,5,2,1,3,1,1,4493,2359,1144,38,8034
Porto Alegre,277,3,3,4,16,0,0,1469,7298,1541,113,10421
Montes Claros,322,3,3,2,11,1,1,2249,8402,434,162,11247
Recife,42,5,3,3,1,0,0,3856,2222,189,171,6438
Jaboatão dos Guararapes,126,5,2,2,8,1,1,3223,8834,1228,168,13453
Osasco,395,5,4,2,1,0,1,826,7892,949,138,9805
Maringá,201,2,4,2,9,1,0,4345,6663,1156,151,12315
Campinas,204,5,4,3,18,1,0,2268,9569,898,167,12902
Duque de Caxias,176,3,2,3,7,1,1,684,6987,676,170,8517
Guarulhos,76,1,2,0,12,0,1,1438,5654,866,59,8017
Manaus,116,1,1,0,16,1,1,1641,7507,1674,177,10999
Manaus,439,5,1,0,5,1,0,2995,6231,924,195,10345
Porto Velho,244,3,4,4,10,1,1,3058,4507,1340,171,9076
Londrina,74,5,3,0,13,0,1,506,8294,1583,66,10449
Rio de Janeiro,55,2,4,4,12,0,0,3443,9763,326,66,13598
Ribeirão Preto,447,5,3,2,4,1,0,2997,8366,139,102,11604
Santo André,251,4,2,2,4,0,1,3845,6845,1400,127,12217
Belém,405,1,1,2,5,0,1,388,2863,492,111,3854
